# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:04:03.181Z
# export_time=2026-05-17T18:04:10.899Z
# n_trials=1400
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=3
# note=sweep_N=[10,20,40,70,100,150,200]
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
24,10,239353,3.5,8,1.6666666666666667,0.4761904761904762,0.20833333333333334,12.899494936611667,1.0185774393731681,0.047176658440992884,0.009667236226077151,3.3333333333333335,8,2,4,0.5874929999999949
25,10,249326,3.166666666666666,8,1.6666666666666667,0.5263157894736843,0.20833333333333334,12.899494936611667,0.9867877177995275,0.022841238479272177,0.0019224920256079262,3.3333333333333335,8,2,6,5.961534999999969
26,10,259299,3,12,1.6666666666666667,0.5555555555555556,0.1388888888888889,11.071067811865477,0.979157801378307,0.011710230855922852,-0.00013579698895786426,3.6363636363636362,7,2.2,6,1.4931990000000042
27,10,269272,2.999999999999999,8,1.6666666666666667,0.5555555555555557,0.20833333333333334,12.071067811865476,1.0600707523557096,0.30400976984685746,0.3256732579212974,3.3333333333333335,10,2,6,1.8164800000000128
28,10,279245,3.166666666666666,8.000000000000002,1.6666666666666667,0.5263157894736843,0.2083333333333333,12.485281374238573,1.0080922576827975,0.1165697634836127,0.04092860443589258,3.3333333333333335,8,2,4,1.0877140000000054
29,10,289218,2.5000000000000004,8,1.6666666666666667,0.6666666666666666,0.20833333333333334,11.899494936611667,0.981707695803593,0.044345864433980794,-0.011849120623981925,4,10,2.2,4,1.4801049999999805
30,10,299191,2.333333333333333,4.000000000000001,1.6666666666666667,0.7142857142857144,0.4166666666666666,12.071067811865476,0.982344135219425,0.03393379688045316,-0.012227055648605923,3.3333333333333335,8,2,5,2.5502559999999903
31,10,309164,2.4999999999999996,6.000000000000003,1.6666666666666667,0.6666666666666669,0.2777777777777777,12.485281374238573,1.024084957413202,0.1478020971103291,0.0483704288797483,3.3333333333333335,7,2,4,0.7992780000000153
32,10,319137,2.1666666666666665,8,1.6666666666666667,0.7692307692307693,0.20833333333333334,12.899494936611667,0.963068014212911,0.03967567803198179,-0.009133843656055072,4,10,2,6,0.7812639999999647
33,10,329110,2.166666666666666,7.999999999999999,1.6666666666666667,0.7692307692307695,0.20833333333333337,9.656854249492378,0.9624188277460076,0.018833286892097883,-0.002243911315135494,4,8,2.4,5,0.6418350000000146
34,10,339083,2.666666666666666,8,1.6666666666666667,0.6250000000000002,0.20833333333333334,12.485281374238571,1.0167349703831376,0.19991695044368651,0.16526172538084039,3.6363636363636362,10,2,5,0.6841929999999934
35,10,349056,2.833333333333332,8,1.6666666666666667,0.5882352941176473,0.20833333333333334,11.071067811865476,1.0093314619093172,0.1551356844442771,0.10103577973961513,3.6363636363636362,8,2.2,5,1.5129350000000272
36,10,359029,2.333333333333333,12,1.6666666666666667,0.7142857142857144,0.1388888888888889,11.48528137423857,1.0880027573494473,0.18972713253323725,0.06225803369716598,3.6363636363636362,8,2.2,7,0.7289470000000051
37,10,369002,2.6666666666666665,8.000000000000004,1.6666666666666667,0.6250000000000001,0.20833333333333326,10.656854249492381,0.9949874371066201,0.13720538720538725,0.06049475470963091,3.6363636363636362,8,2.2,5,0.6393399999999474
38,10,378975,3.1666666666666665,8,1.6666666666666667,0.5263157894736843,0.20833333333333334,13.485281374238571,1.0043654713300334,0.07159934218708978,-0.001974918301253829,3.3333333333333335,9,1.8,6,1.0930849999999737
39,10,388948,2.9999999999999996,8,1.6666666666666667,0.5555555555555557,0.20833333333333334,11.071067811865476,1.0093314619093174,0.16046520380895027,0.11838096291471206,3.6363636363636362,8,2.2,5,0.6191220000000044
40,10,398921,3.5,8,1.6666666666666667,0.4761904761904762,0.20833333333333334,12.899494936611667,1.0482127646618313,0.14322434351788216,0.0385999594414465,3.3333333333333335,10,2,4,1.5242259999999987
41,10,408894,1.8333333333333328,12,1.6666666666666667,0.9090909090909094,0.1388888888888889,11.485281374238571,1.1067971810589325,0.36951270304039974,0.43010820321464677,3.6363636363636362,8,2.2,3,0.601428999999996
42,10,418867,2.833333333333333,8,1.6666666666666667,0.5882352941176472,0.20833333333333334,12.071067811865477,1.0937321427113678,0.3142756065683319,0.3434951876760594,3.3333333333333335,9,2,4,0.745666999999969
43,10,428840,2.666666666666666,8,1.6666666666666667,0.6250000000000002,0.20833333333333334,10.656854249492381,1.0142731387550397,0.20842013260911618,0.16994724760191873,3.6363636363636362,7,2.2,5,0.7722870000000057
44,10,438813,2.5,4.000000000000001,1.6666666666666667,0.6666666666666667,0.4166666666666666,11.071067811865476,0.9766012492312306,0.03347653344647347,0.0008126476954273192,3.6363636363636362,8,2.2,5,1.2456980000000044
45,10,448786,3.6666666666666656,12.000000000000004,1.6666666666666667,0.4545454545454547,0.13888888888888887,12.485281374238573,1.0179636535751166,0.0800607065061601,0.010738973616869017,3.3333333333333335,7,2,7,1.1544179999999642
46,10,458759,2.1666666666666665,8,1.6666666666666667,0.7692307692307693,0.20833333333333334,10.48528137423857,0.9918417212438685,0.03495331539034081,0.010614331772995584,4,8,2.4,4,0.7735799999999813
